No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
2463,AKPER Mappa Oudang Makassar,Baik,1944/SK/BAN-PT/Ak.Ppj/PT/XI/2022,2022,09,2027-11-23,Masih berlaku
1450,AKPER Putra Pertiwi Watansoppeng,Baik,355/SK/BAN-PT/Ak/PT/IV/2024,2024,09,2029-04-02,Masih berlaku
3794,AKTEK Radiodiagnostik &amp; Terapi Citra Intan Persada,Tidak Terakreditasi,978/SK/BAN-PT/Ak-TMSP/PT/XI/2020,2020,11,,Masih berlaku
1648,AKTEK Radiodiagnostik Dan Radioterapi Bali,Baik,14/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,08,2028-10-31,Masih berlaku
2420,AMIK Bukittinggi,Baik,2007/SK/BAN-PT/Ak.Ppj/PT/XII/2022,2022,10,2027-12-28,Masih berlaku
701,AMIK Bumi Nusantara,Baik,1804/SK/BAN-PT/Ak.P/PT/IX/2024,2024,04,2026-09-24,Masih berlaku
2206,AMIK Citra Buana Indonesia,Baik,362/SK/BAN-PT/Ak/PT/V/2023,2023,04,2028-05-23,Masih berlaku
1018,AMIK Depati Parbo Kerinci,Baik,1543/SK/BAN-PT/Ak.B/PT/VIII/2024,2024,10,2026-08-13,Masih berlaku
3934,AMIK Indonesia,Baik,1005/SK/BAN-PT/Akred/PT/XII/2020,2020,13,2025-12-01,Masih berlaku
1146,AMIK Jabal Ghafur,Baik,1337/SK/BAN-PT/Ak.P/PT/VII/2024,2024,13,2026-07-09,Masih berlaku
2143,AMIK Laksi-31,Tidak Terakreditasi,448/SK/BAN-PT/Ak-TMSP/PT/VII/2023,2023,03,,Masih berlaku
1990,AMIK Mahaputra Riau,Baik,742/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,17,2028-10-24,Masih berlaku
1556,AMIK Mapan Tangerang,Baik,224/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,04,2029-02-27,Masih berlaku
650,AMIK Master Lampung,Baik,1870/SK/BAN-PT/Ak.P/PT/X/2024,2024,02,2026-10-08,Masih berlaku
3596,AMIK Medan Business Polytechnic,Baik,410/SK/BAN-PT/Akred/PT/V/2021,2021,01,2026-05-05,Masih berlaku
2050,AMIK Mitra Gama,Baik,623/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,10,2028-09-26,Masih berlaku
