No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
4321,Sekolah Tinggi Agama Islam Persis Garut,B-152/DJ.I/Dt.I.III/PP.01/03/2025,S1,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4320,Sekolah Tinggi Agama Islam Persis Garut,Ilmu Hadits,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4319,Institut Agama Islam Negeri Pontianak,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4318,Universitas Islam Negeri K.H. Abdurrahman Wahid,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4317,Universitas Nurul Jadid Probolinggo,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4316,Universitas Islam Ahmad Dahlan,Bimbingan Penyuluhan Islam,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4315,Institut Agama Islam Negeri Takengon,Ilmu Syariah,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4314,Universitas Islam Negeri Raden Mas Said Surakarta,Studi Islam,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4313,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ilmu Syariah,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4312,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Sejarah Peradaban Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4311,Institut Agama Islam Daar Al Uluum Asahan,Hukum Keluarga Islam (Ahwal Syakhshiyah),S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4322,Universitas Brawijaya,Perencanaan Wilayah dan Kota,S1,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4304,Universitas Pendidikan Nasional,Bahasa Inggris untuk Komunikasi Bisnis dan Profesional,S1 Terapan,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4305,Politeknik Negeri Sriwijaya,Teknologi Rekayasa Pangan,S1 Terapan,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4310,Sekolah Tinggi Teologi Baptis Papua,Teologi,S2,2025-03-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4306,STT Real Batam,Psikologi Kristen,S1,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4309,"STT Tawangmangu, Jawa Tengah",Teologi,S2,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4307,STT Global Misi Sejahtera (STT GMS) Surabaya,Teologi,S1,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4308,STT Arastamar Riau,Teologi,S2,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4294,Sekolah Tinggi Agama Islam Darud Dakwah Wal-Irsyad Parepare,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4284,Universitas Islam Negeri Walisongo Semarang,Ilmu Hadist,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4286,Sekolah Tinggi Agama Islam Miftahul Ulum Tasikmalaya,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4287,Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,Ilmu Perpustakaan dan Informasi Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4288,Sekolah Tinggi Ilmu Al- Qur’an dan Sains Al- Ishlah Lamongan Jawa Timur,Studi Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4289,Sekolah Tinggi Ekonomi Ar-Risalah Sumatera Barat,Pariwisata Syariah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4290,Institut Agama Islam Negeri Curup,Ilmu Falak,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4291,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,Pariwisata Syariah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4292,Sekolah Tinggi Dirasat Islamiyah Imam Syafi’I Jember,Bahasa dan Sastra Arab,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4293,Sekolah Tinggi Ilmu Tarbiyah Al Hikmah Bumi Agung Way Kanan,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4295,Sekolah Tinggi Ilmu Syariah Ummul Ayman Pidie Jaya,Komunikasi dan Penyiaran Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4296,Universitas Ibrahimy Sukorejo Situbondo,Ilmu Al-Qur’an dan Tafsir,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4297,Sekolah Tinggi Ilmu Islam dan Bahasa Arab Makassar,Ilmu Al-Qur’an dan Tafsir,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4298,UIN Ar-Raniry Banda Aceh,Manajemen Haji dan Umrah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4299,Sekolah Tinggi Ilmu Ekonom Syariah Mitra Karya Bekasi Jawa Barat,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4300,Sekolah Tinggi Dirasat Islamiyah Imam Syafi’I Jember,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4301,Institut Agama Islam Pangeran Dharma Kusuma,Hukum Ekonomi Syariah (Muamalah),S2,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4283,Akademi Teknologi Maritim Patimban Subang,Manajemen Pelabuhan dan Logistik Maritim,S1 Terapan,2025-02-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4282,Akademi Bahasa Asing Sutopo,Bahasa Mandarin,D-III,2025-02-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4303,Universitas Syiah Kuala,Damai dan Resolusi Konflik,S2,2025-02-13,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4285,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Pariwisata Syariah,S1,2025-02-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4302,Universitas Indonesia,Profesi Fisikawan Medis,Profesi,2025-02-11,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4280,Politeknik Kirana,Teknologi Rekayasa Aeronautika,S1 Terapan,2025-02-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4279,Politeknik Kirana,Teknologi Rekayasa Pemeliharan Pesawat Udara,S1 Terapan,2025-02-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
