No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
1,ACEH,KAB. ACEH BARAT,ARONGAN LAMBALEK,106,309,0,0,944,153,75,58,0,0,1645
2,ACEH,KAB. ACEH BARAT,BUBON,149,178,0,19,541,318,176,0,0,0,1381
3,ACEH,KAB. ACEH BARAT,JOHAN PAHLAWAN,182,1235,21,0,5498,3478,1766,494,15,333,13022
4,ACEH,KAB. ACEH BARAT,KAWAY XVI,57,427,0,7,1763,711,557,119,0,497,4138
5,ACEH,KAB. ACEH BARAT,MEUREUBO,204,663,0,0,1657,1574,528,44,0,394,5064
6,ACEH,KAB. ACEH BARAT,PANTEE CEUREUMEN,87,180,0,0,708,139,145,66,0,69,1394
7,ACEH,KAB. ACEH BARAT,PANTON REU,0,109,0,0,494,134,24,0,6,0,767
8,ACEH,KAB. ACEH BARAT,SAMATIGA,257,366,0,0,1192,524,425,353,50,6,3173
9,ACEH,KAB. ACEH BARAT,SUNGAI MAS,24,91,0,0,203,1,16,0,0,0,335
10,ACEH,KAB. ACEH BARAT,WOYLA,24,175,0,0,1045,742,82,53,0,166,2287
11,ACEH,KAB. ACEH BARAT,WOYLA BARAT,21,95,0,0,571,326,215,0,0,0,1228
12,ACEH,KAB. ACEH BARAT,WOYLA TIMUR,0,73,0,0,535,125,42,0,0,17,792
13,ACEH,KAB. ACEH BARAT DAYA,BABAHROT,288,473,11,34,2041,536,5,8,0,0,3396
14,ACEH,KAB. ACEH BARAT DAYA,BLANGPIDIE,276,695,87,0,1985,485,538,0,0,326,4392
15,ACEH,KAB. ACEH BARAT DAYA,JEUMPA,198,185,0,0,693,2,1,0,0,0,1079
16,ACEH,KAB. ACEH BARAT DAYA,KUALA BATEE,426,415,0,69,1672,653,177,0,0,53,3465
17,ACEH,KAB. ACEH BARAT DAYA,LEMBAH SABIL,261,147,18,42,913,244,4,76,0,0,1705
18,ACEH,KAB. ACEH BARAT DAYA,MANGGENG,556,192,0,0,1607,736,64,0,0,0,3155
19,ACEH,KAB. ACEH BARAT DAYA,SETIA,300,145,0,0,596,1,2,0,0,0,1044
20,ACEH,KAB. ACEH BARAT DAYA,SUSOH,273,532,25,0,1984,1117,784,78,6,0,4799
21,ACEH,KAB. ACEH BARAT DAYA,TANGAN-TANGAN,569,40,0,0,1279,49,371,0,0,22,2330
