No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
1,ACEH,KAB. ACEH BARAT,ARONGAN LAMBALEK,7,11,0,1,17,3,2,1,0,2,44
2,ACEH,KAB. ACEH BARAT,BUBON,10,8,0,1,7,3,1,0,0,0,30
3,ACEH,KAB. ACEH BARAT,JOHAN PAHLAWAN,14,36,2,0,37,18,12,4,1,15,139
4,ACEH,KAB. ACEH BARAT,KAWAY XVI,4,21,0,1,20,12,4,1,0,3,66
5,ACEH,KAB. ACEH BARAT,MEUREUBO,11,21,0,0,22,14,6,1,0,7,83
6,ACEH,KAB. ACEH BARAT,PANTEE CEUREUMEN,4,7,0,0,14,6,1,1,0,1,34
7,ACEH,KAB. ACEH BARAT,PANTON REU,0,10,0,0,9,3,2,0,1,0,25
8,ACEH,KAB. ACEH BARAT,SAMATIGA,17,22,0,0,20,6,2,1,1,2,71
9,ACEH,KAB. ACEH BARAT,SUNGAI MAS,1,4,0,0,9,1,1,0,0,1,17
10,ACEH,KAB. ACEH BARAT,WOYLA,1,8,0,0,14,6,2,2,0,1,34
11,ACEH,KAB. ACEH BARAT,WOYLA BARAT,3,3,0,0,13,5,1,0,0,0,25
12,ACEH,KAB. ACEH BARAT,WOYLA TIMUR,0,3,0,0,10,4,1,0,0,2,20
13,ACEH,KAB. ACEH BARAT DAYA,BABAHROT,8,9,1,1,17,6,1,1,0,0,44
14,ACEH,KAB. ACEH BARAT DAYA,BLANGPIDIE,11,11,3,0,20,5,2,0,0,4,56
15,ACEH,KAB. ACEH BARAT DAYA,JEUMPA,10,4,0,0,9,1,1,0,0,0,25
16,ACEH,KAB. ACEH BARAT DAYA,KUALA BATEE,17,8,0,1,17,6,3,0,0,2,54
17,ACEH,KAB. ACEH BARAT DAYA,LEMBAH SABIL,11,4,1,2,14,4,2,2,0,0,40
18,ACEH,KAB. ACEH BARAT DAYA,MANGGENG,19,7,0,0,15,4,2,0,0,1,48
19,ACEH,KAB. ACEH BARAT DAYA,SETIA,10,4,0,0,7,1,1,0,0,0,23
20,ACEH,KAB. ACEH BARAT DAYA,SUSOH,16,12,1,0,19,9,5,2,1,3,68
21,ACEH,KAB. ACEH BARAT DAYA,TANGAN-TANGAN,14,3,0,0,14,3,2,0,0,2,38
22,ACEH,KAB. ACEH BESAR,BAITUSSALAM,2,15,0,0,12,4,2,0,0,1,36
23,ACEH,KAB. ACEH BESAR,BLANG BINTANG,4,8,0,0,8,6,5,1,0,1,33
24,ACEH,KAB. ACEH BESAR,DARUL IMARAH,7,32,0,1,23,15,9,0,0,5,92
25,ACEH,KAB. ACEH BESAR,DARUL KAMAL,2,3,0,0,4,2,0,1,0,2,14
26,ACEH,KAB. ACEH BESAR,DARUSSALAM,3,16,0,0,12,7,4,1,0,3,46
27,ACEH,KAB. ACEH BESAR,INDRAPURI,7,22,0,0,18,8,6,0,0,0,61
28,ACEH,KAB. ACEH BESAR,INGIN JAYA,5,21,1,0,20,7,5,1,1,4,65
29,ACEH,KAB. ACEH BESAR,KOTA JANTHO,1,9,0,0,11,5,1,2,1,3,33
30,ACEH,KAB. ACEH BESAR,KRUNG BARONA JAYA,2,4,0,0,6,3,3,0,0,1,19
31,ACEH,KAB. ACEH BESAR,KUTA BARO,2,14,0,0,14,9,8,0,0,2,49
32,ACEH,KAB. ACEH BESAR,KUTA COT GLIE,3,11,0,0,12,4,2,0,0,1,33
33,ACEH,KAB. ACEH BESAR,KUTA MALAKA,3,7,0,0,5,6,5,0,0,1,27
34,ACEH,KAB. ACEH BESAR,LEMBAH SEULAWAH,0,7,0,0,10,4,1,1,0,0,23
35,ACEH,KAB. ACEH BESAR,LEUPUNG,1,5,0,0,5,2,2,0,0,0,15
36,ACEH,KAB. ACEH BESAR,LHOKNGA,5,7,0,0,16,6,3,1,0,4,42
37,ACEH,KAB. ACEH BESAR,LHOONG,8,10,0,0,15,4,2,0,0,1,40
38,ACEH,KAB. ACEH BESAR,MESJID RAYA,0,12,0,0,13,5,1,2,0,0,33
39,ACEH,KAB. ACEH BESAR,MONTASIK,10,9,0,0,14,6,4,0,0,2,45
40,ACEH,KAB. ACEH BESAR,PEUKAN BADA,3,11,1,0,11,4,2,0,0,1,33
41,ACEH,KAB. ACEH BESAR,PULO ACEH,0,2,0,0,9,3,2,0,0,0,16
42,ACEH,KAB. ACEH BESAR,SEULIMEUM,3,15,0,0,21,8,5,0,0,0,52
43,ACEH,KAB. ACEH BESAR,SIMPANG TIGA,0,5,0,0,3,1,1,0,0,4,14
44,ACEH,KAB. ACEH BESAR,SUKA MAKMUR,1,13,0,0,9,6,4,1,0,3,37
45,ACEH,KAB. ACEH JAYA,DARUL HIKMAH,10,9,0,0,10,4,2,1,0,4,40
46,ACEH,KAB. ACEH JAYA,INDRA JAYA,9,10,0,2,9,2,1,0,0,0,33
47,ACEH,KAB. ACEH JAYA,JAYA,29,15,0,2,19,6,4,1,0,2,78
48,ACEH,KAB. ACEH JAYA,KRUENG SABEE,8,14,1,0,17,8,4,1,1,11,65
49,ACEH,KAB. ACEH JAYA,PANGA,17,7,0,0,10,6,2,1,0,7,50
50,ACEH,KAB. ACEH JAYA,PASIE RAYA,8,9,0,2,8,3,0,1,0,2,33
51,ACEH,KAB. ACEH JAYA,SAMPOINIET,12,9,0,0,15,4,2,0,0,1,43
52,ACEH,KAB. ACEH JAYA,SETIA BAKTI,7,10,0,2,13,7,3,1,0,1,44
53,ACEH,KAB. ACEH JAYA,TEUNOM,23,12,0,3,17,7,2,1,0,6,71
54,ACEH,KAB. ACEH SELATAN,BAKONGAN,7,1,0,0,5,2,2,0,0,1,18
55,ACEH,KAB. ACEH SELATAN,BAKONGAN TIMUR,6,3,0,0,7,2,1,0,0,1,20
56,ACEH,KAB. ACEH SELATAN,KLUET SELATAN,15,10,0,1,14,5,3,1,1,1,51
57,ACEH,KAB. ACEH SELATAN,KLUET TENGAH,12,6,0,0,9,4,1,0,0,1,33
58,ACEH,KAB. ACEH SELATAN,KLUET TIMUR,8,9,0,0,12,6,3,1,0,0,39
59,ACEH,KAB. ACEH SELATAN,KLUET UTARA,21,19,0,0,23,8,4,0,0,2,77
60,ACEH,KAB. ACEH SELATAN,KOTA BAHAGIA,10,1,0,0,9,2,1,1,0,0,24
61,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI,17,8,0,1,14,6,3,1,0,1,51
62,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI BARAT,15,10,0,0,17,8,4,1,0,0,55
63,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI TIMUR,9,4,0,0,9,6,3,1,0,0,32
64,ACEH,KAB. ACEH SELATAN,MEUKEK,21,13,0,0,25,10,6,1,0,2,78
65,ACEH,KAB. ACEH SELATAN,PASIE RAJA,22,14,0,0,17,6,3,1,1,1,65
66,ACEH,KAB. ACEH SELATAN,SAMADUA,28,7,0,0,17,4,2,1,0,0,59
67,ACEH,KAB. ACEH SELATAN,SAWANG,16,8,0,0,14,4,2,1,0,3,48
68,ACEH,KAB. ACEH SELATAN,TAPAK TUAN,16,13,1,0,23,8,6,1,0,4,72
69,ACEH,KAB. ACEH SELATAN,TRUMON,4,2,0,1,12,3,2,0,0,0,24
70,ACEH,KAB. ACEH SELATAN,TRUMON TENGAH,11,4,0,0,6,2,1,0,0,0,24
71,ACEH,KAB. ACEH SELATAN,TRUMON TIMUR,6,4,0,1,9,4,2,1,0,0,27
72,ACEH,KAB. ACEH SINGKIL,DANAU PARIS,1,3,1,0,9,4,2,0,0,0,20
73,ACEH,KAB. ACEH SINGKIL,GUNUNG MARIAH,3,33,1,0,29,16,5,4,0,4,95
74,ACEH,KAB. ACEH SINGKIL,KUALA BARU,0,2,0,0,3,2,0,1,0,0,8
75,ACEH,KAB. ACEH SINGKIL,KUTA BAHARU,3,6,0,0,9,6,2,1,0,2,29
76,ACEH,KAB. ACEH SINGKIL,PULAU BANYAK,1,5,0,0,5,2,1,0,0,1,15
77,ACEH,KAB. ACEH SINGKIL,PULAU BANYAK BARAT,0,5,0,0,4,2,1,0,0,0,12
78,ACEH,KAB. ACEH SINGKIL,SIMPANG KANAN,5,15,0,0,16,10,4,1,0,3,54
79,ACEH,KAB. ACEH SINGKIL,SINGKIL,4,22,1,0,17,10,4,1,1,7,67
80,ACEH,KAB. ACEH SINGKIL,SINGKIL UTARA,3,10,1,0,8,4,1,1,0,3,31
81,ACEH,KAB. ACEH SINGKIL,SINGKOHOR,0,6,0,0,8,4,2,0,0,1,21
82,ACEH,KAB. ACEH SINGKIL,SURO MAKMUR,1,9,0,0,13,4,1,0,0,1,29
83,ACEH,KAB. ACEH TAMIANG,BANDA MULYA,3,11,0,0,9,3,1,0,0,2,29
84,ACEH,KAB. ACEH TAMIANG,BANDAR PUSAKA,2,13,0,0,17,9,4,0,0,1,46
85,ACEH,KAB. ACEH TAMIANG,BENDAHARA,7,18,2,0,17,6,2,1,0,8,61
86,ACEH,KAB. ACEH TAMIANG,KARANG BARU,5,27,1,0,29,10,5,3,0,12,92
87,ACEH,KAB. ACEH TAMIANG,KEJURUAN MUDA,1,22,0,0,19,11,9,2,0,7,71
88,ACEH,KAB. ACEH TAMIANG,KUALASIMPANG,3,11,1,0,9,6,2,1,0,2,35
89,ACEH,KAB. ACEH TAMIANG,MANYAK PAYED,1,19,0,2,20,8,7,1,0,6,64
90,ACEH,KAB. ACEH TAMIANG,RANTAU,9,18,0,0,20,10,3,1,1,6,68
91,ACEH,KAB. ACEH TAMIANG,SEKERAK,0,7,0,0,9,5,1,0,0,1,23
92,ACEH,KAB. ACEH TAMIANG,SERUWAY,5,17,0,0,19,10,4,0,0,2,57
93,ACEH,KAB. ACEH TAMIANG,TAMIANG HULU,6,14,0,1,14,7,3,0,0,9,54
94,ACEH,KAB. ACEH TAMIANG,TENGGULUN,1,16,0,0,13,5,2,0,0,1,38
95,ACEH,KAB. ACEH TENGAH,ATU LINTANG,3,9,0,0,11,3,2,0,0,0,28
96,ACEH,KAB. ACEH TENGAH,BEBESEN,11,32,3,0,31,15,8,3,1,6,110
97,ACEH,KAB. ACEH TENGAH,BIES,0,7,0,0,8,3,1,0,0,0,19
98,ACEH,KAB. ACEH TENGAH,BINTANG,2,14,0,0,14,6,3,0,1,0,40
99,ACEH,KAB. ACEH TENGAH,CELALA,0,10,0,0,13,4,2,0,1,0,30
100,ACEH,KAB. ACEH TENGAH,JAGONG JEGET,6,11,0,0,9,4,2,1,0,0,33
101,ACEH,KAB. ACEH TENGAH,KEBAYAKAN,5,20,0,0,13,6,4,0,1,1,50
102,ACEH,KAB. ACEH TENGAH,KETOL,1,14,0,0,23,8,2,0,1,0,49
103,ACEH,KAB. ACEH TENGAH,KUTE PANANG,2,13,0,0,14,3,1,0,1,0,34
104,ACEH,KAB. ACEH TENGAH,LAUT TAWAR,7,19,3,0,17,6,0,1,0,0,53
105,ACEH,KAB. ACEH TENGAH,LINGE,1,12,0,0,23,6,3,0,0,0,45
106,ACEH,KAB. ACEH TENGAH,PEGASING,1,24,1,0,25,8,5,1,1,4,70
107,ACEH,KAB. ACEH TENGAH,RUSIP ANTARA,1,7,0,0,12,4,2,0,0,1,27
108,ACEH,KAB. ACEH TENGAH,SILIH NARA,0,29,0,0,22,8,2,0,1,0,62
109,ACEH,KAB. ACEH TENGGARA,BABUL MAKMUR,10,10,0,0,10,7,4,1,0,1,43
110,ACEH,KAB. ACEH TENGGARA,BABUL RAHMAT,9,3,0,0,11,3,1,0,0,0,27
111,ACEH,KAB. ACEH TENGGARA,BABUSSALAM,13,21,0,0,19,12,9,2,0,5,81
112,ACEH,KAB. ACEH TENGGARA,BADAR,3,13,0,0,17,12,4,2,0,2,53
113,ACEH,KAB. ACEH TENGGARA,BAMBEL,9,12,0,0,20,12,4,0,0,6,63
114,ACEH,KAB. ACEH TENGGARA,BUKIT TUSAM,5,9,0,0,11,2,4,1,0,0,32
115,ACEH,KAB. ACEH TENGGARA,DARUL HASANAH,12,8,0,0,14,3,1,2,0,3,43
116,ACEH,KAB. ACEH TENGGARA,DELENG POKHKISEN,6,6,0,0,8,1,0,1,0,0,22
117,ACEH,KAB. ACEH TENGGARA,KETAMBE,8,8,0,0,13,8,5,1,0,1,44
118,ACEH,KAB. ACEH TENGGARA,LAWE ALAS,11,10,1,0,19,14,7,1,0,1,64
119,ACEH,KAB. ACEH TENGGARA,LAWE BULAN,7,17,1,0,17,8,3,2,1,4,60
120,ACEH,KAB. ACEH TENGGARA,LAWE SIGALA-GALA,11,10,0,0,21,5,3,1,0,1,52
121,ACEH,KAB. ACEH TENGGARA,LAWE SUMUR,5,6,1,0,6,3,3,0,0,2,26
122,ACEH,KAB. ACEH TENGGARA,LUESER,16,5,0,1,11,5,1,0,0,1,40
123,ACEH,KAB. ACEH TENGGARA,SEMADAM,14,7,0,0,13,7,4,1,1,3,50
124,ACEH,KAB. ACEH TENGGARA,TANOH ALAS,4,4,0,0,5,5,3,1,0,0,22
125,ACEH,KAB. ACEH TIMUR,BANDA ALAM,4,4,0,0,11,4,3,0,0,1,27
126,ACEH,KAB. ACEH TIMUR,BIREM BAYEUN,19,13,0,0,26,11,5,0,0,3,77
127,ACEH,KAB. ACEH TIMUR,DARUL AMAN,8,4,0,1,16,8,5,1,0,3,46
128,ACEH,KAB. ACEH TIMUR,DARUL FALAH,2,2,0,0,3,1,1,0,0,1,10
129,ACEH,KAB. ACEH TIMUR,DARUL IHSAN,5,2,0,0,6,2,1,1,0,2,19
130,ACEH,KAB. ACEH TIMUR,IDI RAYEUK,14,13,1,0,24,5,5,1,0,5,68
131,ACEH,KAB. ACEH TIMUR,IDI TIMUR,6,0,0,0,4,2,0,0,0,0,12
132,ACEH,KAB. ACEH TIMUR,IDI TUNONG,4,1,0,1,10,4,1,0,0,1,22
133,ACEH,KAB. ACEH TIMUR,INDRA MAKMUR,10,3,0,2,22,3,1,1,0,2,44
134,ACEH,KAB. ACEH TIMUR,JULOK,20,6,4,0,20,6,2,1,0,5,64
135,ACEH,KAB. ACEH TIMUR,MADAT,9,10,0,0,16,5,4,0,0,5,49
136,ACEH,KAB. ACEH TIMUR,NURUSSALAM,13,4,2,0,15,8,3,1,0,2,48
137,ACEH,KAB. ACEH TIMUR,PANTE BEUDARI,17,8,0,1,21,8,4,1,0,3,63
138,ACEH,KAB. ACEH TIMUR,PEUDAWA,8,2,2,1,10,2,2,0,1,2,30
139,ACEH,KAB. ACEH TIMUR,PEUNARON,5,3,0,0,9,3,1,0,0,1,22
140,ACEH,KAB. ACEH TIMUR,PEUREULAK,15,10,0,3,27,10,4,2,1,7,79
141,ACEH,KAB. ACEH TIMUR,PEUREULAK BARAT,7,3,0,0,13,5,1,2,0,2,33
142,ACEH,KAB. ACEH TIMUR,PEUREULAK TIMUR,8,10,0,0,15,6,1,1,0,3,44
143,ACEH,KAB. ACEH TIMUR,RANTAU SELAMAT,8,3,0,0,15,5,3,0,0,2,36
144,ACEH,KAB. ACEH TIMUR,RANTO PEUREULAK,15,8,0,1,20,10,2,1,0,1,58
145,ACEH,KAB. ACEH TIMUR,SERBA JADI,3,1,0,0,9,2,0,1,0,0,16
146,ACEH,KAB. ACEH TIMUR,SIMPANG JERNIH,5,0,0,1,8,4,1,1,0,2,22
147,ACEH,KAB. ACEH TIMUR,SIMPANG ULIM,12,5,0,0,13,6,2,1,0,5,44
148,ACEH,KAB. ACEH TIMUR,SUNGAI RAYA,5,6,0,1,11,5,3,1,0,1,33
149,ACEH,KAB. ACEH UTARA,BAKTIYA,10,15,3,6,26,14,5,3,0,9,91
150,ACEH,KAB. ACEH UTARA,BAKTIYA BARAT,3,12,1,0,11,8,2,1,1,1,40
151,ACEH,KAB. ACEH UTARA,BANDA BARO,0,6,0,0,8,3,2,0,0,2,21
152,ACEH,KAB. ACEH UTARA,COT GIREK,6,10,0,0,19,6,3,1,0,0,45
153,ACEH,KAB. ACEH UTARA,DEWANTARA,3,27,0,2,25,12,9,1,1,5,85
154,ACEH,KAB. ACEH UTARA,GEUREUDONG PASE,1,3,0,0,4,2,1,0,0,1,12
155,ACEH,KAB. ACEH UTARA,KUTA MAKMUR,15,17,1,1,25,10,5,1,0,5,80
156,ACEH,KAB. ACEH UTARA,LANGKAHAN,6,9,0,2,16,8,3,0,0,3,47
157,ACEH,KAB. ACEH UTARA,LAPANG,2,6,0,1,6,3,0,1,0,0,19
158,ACEH,KAB. ACEH UTARA,LHOKSUKON,14,28,2,0,30,15,5,2,0,7,103
159,ACEH,KAB. ACEH UTARA,MATANGKULI,5,9,2,1,10,7,5,1,0,5,45
