No,Provinsi,Kabupaten,Kecamatan,Total Yayasan
1,ACEH,KAB. ACEH BARAT,ARONGAN LAMBALEK,15
2,ACEH,KAB. ACEH BARAT,BUBON,16
3,ACEH,KAB. ACEH BARAT,JOHAN PAHLAWAN,42
4,ACEH,KAB. ACEH BARAT,KAWAY XVI,27
5,ACEH,KAB. ACEH BARAT,MEUREUBO,34
6,ACEH,KAB. ACEH BARAT,PANTEE CEUREUMEN,11
7,ACEH,KAB. ACEH BARAT,PANTON REU,8
8,ACEH,KAB. ACEH BARAT,SAMATIGA,21
9,ACEH,KAB. ACEH BARAT,SUNGAI MAS,4
10,ACEH,KAB. ACEH BARAT,WOYLA,9
11,ACEH,KAB. ACEH BARAT,WOYLA BARAT,8
12,ACEH,KAB. ACEH BARAT,WOYLA TIMUR,4
13,ACEH,KAB. ACEH BARAT DAYA,BABAHROT,9
14,ACEH,KAB. ACEH BARAT DAYA,BLANGPIDIE,18
15,ACEH,KAB. ACEH BARAT DAYA,JEUMPA,5
16,ACEH,KAB. ACEH BARAT DAYA,KUALA BATEE,6
17,ACEH,KAB. ACEH BARAT DAYA,LEMBAH SABIL,11
18,ACEH,KAB. ACEH BARAT DAYA,MANGGENG,14
19,ACEH,KAB. ACEH BARAT DAYA,SETIA,8
20,ACEH,KAB. ACEH BARAT DAYA,SUSOH,26
21,ACEH,KAB. ACEH BARAT DAYA,TANGAN-TANGAN,14
22,ACEH,KAB. ACEH BESAR,BAITUSSALAM,15
23,ACEH,KAB. ACEH BESAR,BLANG BINTANG,11
24,ACEH,KAB. ACEH BESAR,DARUL IMARAH,35
25,ACEH,KAB. ACEH BESAR,DARUL KAMAL,6
26,ACEH,KAB. ACEH BESAR,DARUSSALAM,19
27,ACEH,KAB. ACEH BESAR,INDRAPURI,20
28,ACEH,KAB. ACEH BESAR,INGIN JAYA,28
29,ACEH,KAB. ACEH BESAR,KOTA JANTHO,9
30,ACEH,KAB. ACEH BESAR,KRUNG BARONA JAYA,6
31,ACEH,KAB. ACEH BESAR,KUTA BARO,18
32,ACEH,KAB. ACEH BESAR,KUTA COT GLIE,9
33,ACEH,KAB. ACEH BESAR,KUTA MALAKA,9
34,ACEH,KAB. ACEH BESAR,LEMBAH SEULAWAH,3
35,ACEH,KAB. ACEH BESAR,LEUPUNG,3
36,ACEH,KAB. ACEH BESAR,LHOKNGA,9
37,ACEH,KAB. ACEH BESAR,LHOONG,15
38,ACEH,KAB. ACEH BESAR,MESJID RAYA,11
39,ACEH,KAB. ACEH BESAR,MONTASIK,19
40,ACEH,KAB. ACEH BESAR,PEUKAN BADA,11
41,ACEH,KAB. ACEH BESAR,PULO ACEH,3
42,ACEH,KAB. ACEH BESAR,SEULIMEUM,16
43,ACEH,KAB. ACEH BESAR,SIMPANG TIGA,8
44,ACEH,KAB. ACEH BESAR,SUKA MAKMUR,13
45,ACEH,KAB. ACEH JAYA,DARUL HIKMAH,12
46,ACEH,KAB. ACEH JAYA,INDRA JAYA,13
47,ACEH,KAB. ACEH JAYA,JAYA,35
48,ACEH,KAB. ACEH JAYA,KRUENG SABEE,25
49,ACEH,KAB. ACEH JAYA,PANGA,13
50,ACEH,KAB. ACEH JAYA,PASIE RAYA,19
51,ACEH,KAB. ACEH JAYA,SAMPOINIET,11
52,ACEH,KAB. ACEH JAYA,SETIA BAKTI,24
53,ACEH,KAB. ACEH JAYA,TEUNOM,28
54,ACEH,KAB. ACEH SELATAN,BAKONGAN,12
55,ACEH,KAB. ACEH SELATAN,BAKONGAN TIMUR,6
56,ACEH,KAB. ACEH SELATAN,KLUET SELATAN,20
57,ACEH,KAB. ACEH SELATAN,KLUET TENGAH,9
58,ACEH,KAB. ACEH SELATAN,KLUET TIMUR,16
59,ACEH,KAB. ACEH SELATAN,KLUET UTARA,27
60,ACEH,KAB. ACEH SELATAN,KOTA BAHAGIA,4
61,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI,9
62,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI BARAT,3
63,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI TIMUR,10
64,ACEH,KAB. ACEH SELATAN,MEUKEK,17
65,ACEH,KAB. ACEH SELATAN,PASIE RAJA,27
66,ACEH,KAB. ACEH SELATAN,SAMADUA,29
67,ACEH,KAB. ACEH SELATAN,SAWANG,13
68,ACEH,KAB. ACEH SELATAN,TAPAK TUAN,16
69,ACEH,KAB. ACEH SELATAN,TRUMON,5
70,ACEH,KAB. ACEH SELATAN,TRUMON TENGAH,11
71,ACEH,KAB. ACEH SELATAN,TRUMON TIMUR,7
72,ACEH,KAB. ACEH SINGKIL,DANAU PARIS,5
73,ACEH,KAB. ACEH SINGKIL,GUNUNG MARIAH,32
74,ACEH,KAB. ACEH SINGKIL,KUALA BARU,3
75,ACEH,KAB. ACEH SINGKIL,KUTA BAHARU,6
76,ACEH,KAB. ACEH SINGKIL,PULAU BANYAK,4
77,ACEH,KAB. ACEH SINGKIL,PULAU BANYAK BARAT,4
78,ACEH,KAB. ACEH SINGKIL,SIMPANG KANAN,17
79,ACEH,KAB. ACEH SINGKIL,SINGKIL,21
80,ACEH,KAB. ACEH SINGKIL,SINGKIL UTARA,7
81,ACEH,KAB. ACEH SINGKIL,SINGKOHOR,4
82,ACEH,KAB. ACEH SINGKIL,SURO MAKMUR,6
83,ACEH,KAB. ACEH TAMIANG,BANDA MULYA,5
84,ACEH,KAB. ACEH TAMIANG,BANDAR PUSAKA,4
85,ACEH,KAB. ACEH TAMIANG,BENDAHARA,4
86,ACEH,KAB. ACEH TAMIANG,KARANG BARU,16
87,ACEH,KAB. ACEH TAMIANG,KEJURUAN MUDA,21
88,ACEH,KAB. ACEH TAMIANG,KUALASIMPANG,10
89,ACEH,KAB. ACEH TAMIANG,MANYAK PAYED,8
90,ACEH,KAB. ACEH TAMIANG,RANTAU,10
91,ACEH,KAB. ACEH TAMIANG,SEKERAK,3
92,ACEH,KAB. ACEH TAMIANG,SERUWAY,13
93,ACEH,KAB. ACEH TAMIANG,TAMIANG HULU,10
94,ACEH,KAB. ACEH TAMIANG,TENGGULUN,10
95,ACEH,KAB. ACEH TENGAH,ATU LINTANG,10
96,ACEH,KAB. ACEH TENGAH,BEBESEN,43
97,ACEH,KAB. ACEH TENGAH,BIES,6
98,ACEH,KAB. ACEH TENGAH,BINTANG,14
99,ACEH,KAB. ACEH TENGAH,CELALA,7
100,ACEH,KAB. ACEH TENGAH,JAGONG JEGET,10
101,ACEH,KAB. ACEH TENGAH,KEBAYAKAN,16
102,ACEH,KAB. ACEH TENGAH,KETOL,11
103,ACEH,KAB. ACEH TENGAH,KUTE PANANG,10
104,ACEH,KAB. ACEH TENGAH,LAUT TAWAR,14
105,ACEH,KAB. ACEH TENGAH,LINGE,12
106,ACEH,KAB. ACEH TENGAH,PEGASING,22
107,ACEH,KAB. ACEH TENGAH,RUSIP ANTARA,6
108,ACEH,KAB. ACEH TENGAH,SILIH NARA,22
109,ACEH,KAB. ACEH TENGGARA,BABUL MAKMUR,13
110,ACEH,KAB. ACEH TENGGARA,BABUL RAHMAT,5
111,ACEH,KAB. ACEH TENGGARA,BABUSSALAM,25
112,ACEH,KAB. ACEH TENGGARA,BADAR,12
113,ACEH,KAB. ACEH TENGGARA,BAMBEL,16
114,ACEH,KAB. ACEH TENGGARA,BUKIT TUSAM,8
115,ACEH,KAB. ACEH TENGGARA,DARUL HASANAH,7
116,ACEH,KAB. ACEH TENGGARA,DELENG POKHKISEN,4
117,ACEH,KAB. ACEH TENGGARA,KETAMBE,10
118,ACEH,KAB. ACEH TENGGARA,LAWE ALAS,21
119,ACEH,KAB. ACEH TENGGARA,LAWE BULAN,23
120,ACEH,KAB. ACEH TENGGARA,LAWE SIGALA-GALA,18
121,ACEH,KAB. ACEH TENGGARA,LAWE SUMUR,7
122,ACEH,KAB. ACEH TENGGARA,LUESER,16
123,ACEH,KAB. ACEH TENGGARA,SEMADAM,18
124,ACEH,KAB. ACEH TENGGARA,TANOH ALAS,4
125,ACEH,KAB. ACEH TIMUR,BANDA ALAM,5
126,ACEH,KAB. ACEH TIMUR,BIREM BAYEUN,20
127,ACEH,KAB. ACEH TIMUR,DARUL AMAN,6
128,ACEH,KAB. ACEH TIMUR,DARUL FALAH,3
129,ACEH,KAB. ACEH TIMUR,DARUL IHSAN,3
130,ACEH,KAB. ACEH TIMUR,IDI RAYEUK,9
131,ACEH,KAB. ACEH TIMUR,IDI TIMUR,3
132,ACEH,KAB. ACEH TIMUR,IDI TUNONG,2
133,ACEH,KAB. ACEH TIMUR,INDRA MAKMUR,11
134,ACEH,KAB. ACEH TIMUR,JULOK,18
135,ACEH,KAB. ACEH TIMUR,MADAT,13
136,ACEH,KAB. ACEH TIMUR,NURUSSALAM,13
137,ACEH,KAB. ACEH TIMUR,PEUDAWA,3
138,ACEH,KAB. ACEH TIMUR,PEUNARON,2
139,ACEH,KAB. ACEH TIMUR,PEUREULAK,19
140,ACEH,KAB. ACEH TIMUR,PEUREULAK BARAT,3
141,ACEH,KAB. ACEH TIMUR,PEUREULAK TIMUR,10
142,ACEH,KAB. ACEH TIMUR,RANTAU SELAMAT,4
143,ACEH,KAB. ACEH TIMUR,RANTO PEUREULAK,8
144,ACEH,KAB. ACEH TIMUR,SERBA JADI,2
145,ACEH,KAB. ACEH TIMUR,SIMPANG JERNIH,3
146,ACEH,KAB. ACEH TIMUR,SIMPANG ULIM,1
147,ACEH,KAB. ACEH TIMUR,SUNGAI RAYA,9
148,ACEH,KAB. ACEH UTARA,BAKTIYA,24
149,ACEH,KAB. ACEH UTARA,BAKTIYA BARAT,13
150,ACEH,KAB. ACEH UTARA,BANDA BARO,6
151,ACEH,KAB. ACEH UTARA,COT GIREK,5
152,ACEH,KAB. ACEH UTARA,DEWANTARA,24
153,ACEH,KAB. ACEH UTARA,GEUREUDONG PASE,3
154,ACEH,KAB. ACEH UTARA,KUTA MAKMUR,14
155,ACEH,KAB. ACEH UTARA,LANGKAHAN,7
156,ACEH,KAB. ACEH UTARA,LAPANG,5
157,ACEH,KAB. ACEH UTARA,LHOKSUKON,19
158,ACEH,KAB. ACEH UTARA,MATANGKULI,7
159,ACEH,KAB. ACEH UTARA,MEURAH MULIA,20
160,ACEH,KAB. ACEH UTARA,MUARA BATU,17
161,ACEH,KAB. ACEH UTARA,NIBONG,6
162,ACEH,KAB. ACEH UTARA,NISAM,8
163,ACEH,KAB. ACEH UTARA,PAYA BAKONG,5
164,ACEH,KAB. ACEH UTARA,PIRAK TIMU,4
165,ACEH,KAB. ACEH UTARA,SAMUDERA,15
166,ACEH,KAB. ACEH UTARA,SAWANG,20
167,ACEH,KAB. ACEH UTARA,SEUNUDDON,20
168,ACEH,KAB. ACEH UTARA,SIMPANG KERAMAT,6
169,ACEH,KAB. ACEH UTARA,SYAMTALIRA ARON,8
170,ACEH,KAB. ACEH UTARA,SYAMTALIRA BAYU,11
171,ACEH,KAB. ACEH UTARA,TANAH JAMBO AYE,15
172,ACEH,KAB. ACEH UTARA,TANAH LUAS,15
173,ACEH,KAB. ACEH UTARA,TANAH PASIR,1
174,ACEH,KAB. BENER MERIAH,BANDAR,18
175,ACEH,KAB. BENER MERIAH,BENER KELIPAH,4
176,ACEH,KAB. BENER MERIAH,BUKIT,19
