index,KATEGORI,KODE PTN,PTN,KABUPATEN,PROVINSI,KODE PRODI,PRODI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
0,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,350,Tidak Ada
1,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111002,TEKNIK SIPIL,Sarjana,84,525,Tidak Ada
2,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111003,TEKNIK MESIN,Sarjana,36,259,Tidak Ada
3,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111004,TEKNIK KIMIA,Sarjana,54,207,Tidak Ada
4,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111005,ARSITEKTUR,Sarjana,48,272,Tidak Ada
5,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111006,TEKNIK ELEKTRO,Sarjana,48,217,Tidak Ada
6,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111007,AGROTEKNOLOGI,Sarjana,36,181,Tidak Ada
7,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111008,AGRIBISNIS,Sarjana,48,309,Tidak Ada
8,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111009,PETERNAKAN,Sarjana,39,111,Tidak Ada
9,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,125,Tidak Ada
10,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111011,TEKNIK PERTANIAN,Sarjana,48,187,Tidak Ada
11,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111012,PENDIDIKAN BIOLOGI,Sarjana,36,227,Tidak Ada
12,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,279,Tidak Ada
13,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111014,PENDIDIKAN FISIKA,Sarjana,36,103,Tidak Ada
14,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111015,PENDIDIKAN KIMIA,Sarjana,36,103,Tidak Ada
15,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111016,PENDIDIKAN DOKTER,Sarjana,75,1182,Tidak Ada
16,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111017,ILMU KEPERAWATAN,Sarjana,108,1279,Tidak Ada
17,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,685,Tidak Ada
18,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111019,MATEMATIKA,Sarjana,24,90,Tidak Ada
19,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111020,FISIKA,Sarjana,24,38,Tidak Ada
20,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111021,KIMIA,Sarjana,24,80,Tidak Ada
21,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111022,BIOLOGI,Sarjana,36,126,Tidak Ada
22,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111023,ILMU KELAUTAN,Sarjana,48,123,Tidak Ada
23,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111024,BUDIDAYA PERAIRAN,Sarjana,48,68,Tidak Ada
24,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111025,TEKNIK INDUSTRI,Sarjana,36,395,Tidak Ada
25,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111026,INFORMATIKA,Sarjana,36,992,Tidak Ada
26,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111027,FARMASI,Sarjana,24,1441,Tidak Ada
27,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111028,TEKNIK GEOFISIKA,Sarjana,24,83,Tidak Ada
28,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111029,TEKNIK PERTAMBANGAN,Sarjana,36,605,Tidak Ada
29,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111030,STATISTIKA,Sarjana,36,253,Tidak Ada
30,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,56,Tidak Ada
31,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111032,ILMU TANAH,Sarjana,36,64,Tidak Ada
32,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111033,TEKNIK GEOLOGI,Sarjana,24,126,Tidak Ada
33,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,20,Tidak Ada
34,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,12,10,Tidak Ada
35,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,18,15,Tidak Ada
36,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111037,PROTEKSI TANAMAN,Sarjana,24,49,Tidak Ada
