index,KATEGORI,KODE PTN,PTN,KABUPATEN,PROVINSI,KODE PRODI,PRODI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
0,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,84,411,Tidak Ada
1,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111002,TEKNIK SIPIL,Sarjana,98,606,Tidak Ada
2,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111003,TEKNIK MESIN,Sarjana,42,220,Tidak Ada
3,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111004,TEKNIK KIMIA,Sarjana,63,160,Tidak Ada
4,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111005,ARSITEKTUR,Sarjana,56,294,Tidak Ada
5,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111006,TEKNIK ELEKTRO,Sarjana,56,221,Tidak Ada
6,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111007,AGROTEKNOLOGI,Sarjana,42,183,Tidak Ada
7,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111008,AGRIBISNIS,Sarjana,56,299,Tidak Ada
8,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111009,PETERNAKAN,Sarjana,46,117,Tidak Ada
9,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,56,109,Tidak Ada
10,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111011,TEKNIK PERTANIAN,Sarjana,56,171,Tidak Ada
11,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111012,PENDIDIKAN BIOLOGI,Sarjana,42,194,Tidak Ada
12,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111013,PENDIDIKAN MATEMATIKA,Sarjana,42,173,Tidak Ada
13,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111014,PENDIDIKAN FISIKA,Sarjana,42,59,Tidak Ada
14,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111015,PENDIDIKAN KIMIA,Sarjana,42,55,Tidak Ada
15,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111016,PENDIDIKAN DOKTER,Sarjana,88,1859,Tidak Ada
16,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111017,ILMU KEPERAWATAN,Sarjana,126,1313,Tidak Ada
17,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,35,858,Tidak Ada
18,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111019,MATEMATIKA,Sarjana,28,50,Tidak Ada
19,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111020,FISIKA,Sarjana,28,14,Tidak Ada
20,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111021,KIMIA,Sarjana,28,58,Tidak Ada
21,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111022,BIOLOGI,Sarjana,42,120,Tidak Ada
22,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111023,ILMU KELAUTAN,Sarjana,56,132,Tidak Ada
23,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111024,BUDIDAYA PERAIRAN,Sarjana,56,71,Tidak Ada
24,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111025,TEKNIK INDUSTRI,Sarjana,42,445,Tidak Ada
25,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111026,INFORMATIKA,Sarjana,42,1219,Tidak Ada
26,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111027,FARMASI,Sarjana,28,1576,Tidak Ada
27,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111028,TEKNIK GEOFISIKA,Sarjana,28,85,Tidak Ada
28,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111029,TEKNIK PERTAMBANGAN,Sarjana,42,864,Tidak Ada
29,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111030,STATISTIKA,Sarjana,42,218,Tidak Ada
30,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,42,66,Tidak Ada
31,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111032,ILMU TANAH,Sarjana,42,85,Tidak Ada
32,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111033,TEKNIK GEOLOGI,Sarjana,28,219,Tidak Ada
33,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,14,20,Tidak Ada
34,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,14,22,Tidak Ada
35,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,21,15,Tidak Ada
36,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111037,PROTEKSI TANAMAN,Sarjana,28,30,Tidak Ada
37,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,42,291,Tidak Ada
38,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111039,KEHUTANAN,Sarjana,42,146,Tidak Ada
39,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111040,TEKNIK KOMPUTER,Sarjana,56,822,Tidak Ada
40,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111041,EKONOMI PEMBANGUNAN,Sarjana,56,360,Tidak Ada
41,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111042,MANAJEMEN,Sarjana,70,1345,Tidak Ada
42,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111043,AKUNTANSI,Sarjana,70,784,Tidak Ada
43,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111044,ILMU HUKUM,Sarjana,196,1476,Tidak Ada
44,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,49,279,Tidak Ada
45,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111046,PENDIDIKAN SEJARAH,Sarjana,42,237,Tidak Ada
46,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111047,PENDIDIKAN EKONOMI,Sarjana,56,144,Tidak Ada
47,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111048,PENDIDIKAN GEOGRAFI,Sarjana,56,104,Tidak Ada
48,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,56,385,Tidak Ada
49,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,56,358,Tidak Ada
50,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,42,65,Sendratasik
51,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,56,359,Tidak Ada
52,PTN AKADEMIK,1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,11111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,70,188,Olahraga
