No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Nama SPPG
1,ACEH,ACEH BARAT,JOHAN PAHLAWAN,KUTA PADANG,SPPG Kab. Aceh Barat - Johan Pahwalan
2,ACEH,ACEH BARAT DAYA,SUSOH,KEPALA BANDAR,SPPG SUSOH KEPALA BANDAR
3,ACEH,ACEH BESAR,DARUL IMARAH,LAM BHEU,SPPG Kab. Aceh Besar - Darul Imarah
4,ACEH,ACEH JAYA,KRUENG SABEE,KABONG,SPPG KRUENG SABEE KABONG
5,ACEH,ACEH SELATAN,TAPAKTUAN,LHOK BENGKUANG,SPPG Kab. Aceh Selatan - Tapaktuan
6,ACEH,ACEH TAMIANG,KEJURUAN MUDA,BUKIT RATA,SPPG Aceh Tamiang -  Kejuruan Muda
7,ACEH,ACEH TENGAH,BEBESEN,BLANG KOLAK II,SPPG Kab. Aceh Tengah - Bebesen
8,ACEH,ACEH TENGGARA,BABUSSALAM,PEKHAPAT SEPAKAT,SPPG Kab. Aceh Tenggara - Babussalam
9,ACEH,ACEH TIMUR,PEUREULAK,ALUE NIBONG,SPPG Kab. Aceh Timur - Peureulak
10,ACEH,ACEH UTARA,T. JAMBO AYE,TANJONG MEUNYE,DAPUR SPPG HARAPAN BARU BERSAMA
11,ACEH,ACEH UTARA,SEUNUDDON,MATANG KARIENG,SPPG KAB. ACEH UTARA-SEUNUDDON
12,ACEH,BENER MERIAH,BUKIT,BABUSSALAM,SPPG BUKIT BABUSSALAM
13,ACEH,BIREUEN,PEUDADA,MEUNASAH PULO,SPPG Kab. Bireuen - Peudada
14,ACEH,GAYO LUES,BLANGKEJEREN,KUTE LINTANG,SPPG BLANGKEJEREN
15,ACEH,KOTA BANDA ACEH,SYIAH KUALA,TIBANG,SPPG SYIAHKUALA
16,ACEH,KOTA BANDA ACEH,ULEE KARENG,LAMBHUK,SPPG Kota Banda Aceh - Ulee Kareng
17,ACEH,KOTA LANGSA,LANGSA KOTA,DAULAT,SPPG LANGSA KOTA
18,ACEH,KOTA LHOKSEUMAWE,BANDA SAKTI,HAGU TEUNGOH,SPPG BANDA SAKTI
19,ACEH,KOTA SABANG,SUKAKARYA,KUTA BARAT,SPPG BUSTANUL FAKRI ACEH
20,ACEH,KOTA SUBULUSSALAM,RUNDENG,LAE PEMULAAN,SPPG RUNDENG
21,ACEH,NAGAN RAYA,SEUNAGAN,PAROM,SPPG SEUNAGAN PAROM
22,ACEH,PIDIE,PEUKAN BARO,DUA PAYA,SPPG PEUKANBARO DUA PAYA
23,ACEH,PIDIE JAYA,BANDAR DUA,MEUKO BULOH,SPPG BANDAR DUA MEUKO BULOH
24,ACEH,SIMEULUE,SIMEULUE CUT,LATAK AYAH,SPPG Kab. Simeulue - Simeulue Cut
25,BALI,JEMBRANA,NEGARA,LELATENG,SPPG Kab. Jembrana - Negara
26,BALI,JEMBRANA,PEKUTATAN,PEKUTATAN,SPPG Kab. Jembrana - Pekutatan
27,BALI,KARANGASEM,KARANGASEM,SUBAGAN,SPPG Kab. Karangasem - Karangasem
28,BALI,KLUNGKUNG,KLUNGKUNG,SELAT,SPPG KLUNGKUNG SELAT
29,BALI,TABANAN,SELEMADEG TIMUR,BANTAS,SPPG Kab. Tabanan - Selemadeg Timur
30,BANTEN,KOTA CILEGON,GEROGOL,RAWA ARUM,SPPG YAYASAN INSAN CITA PADJADJARAN
31,BANTEN,KOTA SERANG,CIPOCOK JAYA,BANJARSARI,SPPG CIPOCOK JAYA
32,BANTEN,KOTA TANGERANG,JATIUWUNG,KERONCONG,SPPG KERONCONG JATIUWUNG
33,BANTEN,KOTA TANGERANG,PINANG,NEROKTOG,SPPG Kota Tangerang - Pinang
34,BANTEN,KOTA TANGERANG SELATAN,SERPONG,LENGKONG WETAN,SPPG Khusus Kota Tangerang Selatan - Serpong
35,BANTEN,KOTA TANGERANG SELATAN,PAMULANG,PAMULANG BARAT,"SPPG Kec. Pamulang, Tangerang Selatan"
36,BANTEN,KOTA TANGERANG SELATAN,SERPONG,CIATER,SPPG YAYASAN RESTU BUNDA EMI - CIATER SERPONG
37,BANTEN,KOTA TANGERANG SELATAN,CIPUTAT TIMUR,CEMPAKA PUTIH,SPPG Kota Tangerang Selatan - Ciputat Timur
38,BANTEN,PANDEGLANG,MENES,MENES,SPPG Daar El Mustadh`afin Kec. Menes
39,BANTEN,PANDEGLANG,LABUAN,BANYUBIRU,SPPG Labuan
40,BANTEN,SERANG,PADARINCANG,CURUG GOONG,SPPG CURUG GOONG PADARINCANG
41,BANTEN,TANGERANG,TIGARAKSA,SODONG,SPPG SODONG TIGARAKSA
42,BANTEN,TANGERANG,PASAR KEMIS,SUKAMANTRI,SPPG Kab.Tangerang - Pasar Kemis
43,BANTEN,TANGERANG,TIGARAKSA,TIGARAKSA,SPPG Kab. Tangerang - Tigaraksa
44,BANTEN,TANGERANG,CIKUPA,SUKAMULYA,SPPG SUKAMULYA CIKUPA
45,BANTEN,TANGERANG,CURUG,CURUG KULON,SPPG Kab. Tangerang - Curug
46,BENGKULU,KAUR,KAUR SELATAN,SUKA BANDUNG,SPPG Yayasan Cahaya Sriwijaya Nusantara - Kab. Kaur - Kaur Selatan
47,BENGKULU,KOTA BENGKULU,SINGARAN PATI,PADANG NANGKA,"SPPG KHUSUS KOTA BENGKULU, SINGARAN PATI"
48,BENGKULU,KOTA BENGKULU,RATU AGUNG,KEBUN TEBENG,SPPG RATU AGUNG 1 KOTA BENGKULU
49,BENGKULU,MUKO MUKO,KOTA MUKOMUKO,KOTO JAYA,SPPG KOTA MUKOMUKO
50,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,BANGUNTAPAN,BANGUNTAPAN,SPPG LANUD ADISUTJIPTO
51,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SEWON,PANGGUNGHARJO,"SPPG Kabupaten Bantul, Kecamatan Sewon 2"
52,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SEWON,PANGGUNGHARJO,SPPG Panggung Harjo Sewon Bantul I
53,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,WONOSARI,WONOSARI,SPPG KHUSUS KABUPATEN GUNUNGKIDUL
54,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,TEPUS,TEPUS,"SPPG Kab. Gunungkidul, Kec. Tepus"
55,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,KOTAGEDE,PURBAYAN,SPPG Kecamatan Kotagede Yogyakarta
56,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,UMBULHARJO,PANDEYAN,SPPG KOTA YOGYAKARTA UMBULHARJO 1
57,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,UMBULHARJO,SOROSUTAN,SPPG SOROSUTAN UMBULHARJO Yogyakarta
58,DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,SENTOLO,SUKORENO,SPPG Kab. Kulon Progo - Sentolo
59,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,DEPOK,CATURTUNGGAL,SPPG Khusus Kabupaten Sleman - Depok
60,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,NGEMPLAK,UMBULMARTANI,SPPG UMBULMARTANI NGEMPLAK SLEMAN 1
61,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,SLEMAN,TRIDADI,SPPG KAB.SLEMAN-SLEMAN 1
62,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,GODEAN,SIDOKARTO,SPPG Sidokarto Godean Sleman
63,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,KALASAN,TIRTOMARTANI,SPPG Yayasan Amanah Puri Annisa Kecamatan Kalasan - Kabupaten Sleman
64,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,KALASAN,PURWOMARTANI,"SPPG Yayasan Patriot Solidaritas Nusantara Kecamatan Kalasan, KabupatenÂ Sleman"
65,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,SEYEGAN,MARGOLUWIH,"Yayasan Buana Insan Madani, Kecamatan Seyegan, Kabupaten Sleman"
66,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,KALASAN,TAMANMARTANI,"Yayasan Lazuardi Kendari Kecamatan Kalasan, Kabupaten Sleman"
67,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,SLEMAN,TRIDADI,SPPG Kab. Sleman - Sleman 2
68,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,CANGKRINGAN,UMBULHARJO,SPPG Mandiri Kab. Sleman - Cangkringan 1
69,DKI JAKARTA,ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,SPPG PULAU PANGGANG KEP. SERIBU UTARA
70,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,PAL MERAH,SLIPI,SPPG Khusus Kota Jakarta Barat - Pal Merah
71,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,KALIDERES,KALIDERES,SPPG KALIDERES JAKBAR
72,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,"SPPG Khusus Seskoal, Kec. Kebayoran Lama"
73,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,SPPG KHUSUS BRIGIF 1 MAR (TNI AL)
74,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,TEBET,KEBON BARU,SPPG KEBON BARU TEBET
75,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,SPPG Kota Jakarta Selatan - Kebayoran Lama 3
76,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,SPPG YAYASAN MELANI METAKOGNISI INDONESIA
77,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,SPPG Kemang 1 (Yayasan Gerakan Solidaritas Nasional) Jakarta Selatan
78,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,PANCORAN,DUREN TIGA,SPPG YAYASAN PONDOK TAHFIZ FAJAR CENDEKIA
79,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,PANCORAN,RAWAJATI,SPPG Jakarta Selatan - Pancoran 01
80,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,SPPG KEMANG II JAKSEL
