No,Provinsi SPPG,Kab./Kota SPPG,Alamat Dapur SPPG,Nama Yayasan
1,Aceh,Aceh Barat,"Desa Langung Meurebo, Aceh Barat",Yayasan Pemuda Santri Aceh Barat
2,Aceh,Aceh Besar,Jl. Banda Aceh 0 Medan Desa Lampreh Ingin Jaya Aceh Besar,Yayasan Kurnia Jaya Abadi
3,Aceh,Aceh Jaya,Jl. Meulaboh Banda Aceh Desa Leupe Jaya Aceh Jaya,Yayasan Kurnia Jaya Abadi
4,Aceh,Aceh Selatan,Desa Tanjung Harapan,Yayasan Berkah Cahaya
5,Aceh,Aceh Tamiang,Jl. Banda Aceh 0 Medan Ds Tualang Cut Manyak Payed Aceh Tamiang,Yayasan Makmur Maju Bersama
6,Aceh,Aceh Tengah,"Jln. Putri Pukes, Kp. Lut Kala, Kebayakan",Yayasan Bebesen Gayo Bergizi Nusantara
7,Aceh,Aceh Tenggara,Desa Biak Muli Pantai,Yayasan Alfaruqul Faqih Al Aziziyah
8,Aceh,Aceh Timur,Jl. Alue Ie Mirah Desa Blang Paoh Julok Aceh Timur,Yayasan Nasabe Pangan Bergizi
9,Aceh,Bener Meriah,"Kp. Purwosari, Bandar, Bener Meriah",Yayasan Bebesen Gayo Bergizi Nusantara
10,Aceh,Gayo Lues,Jln Kutapanjang0blangkejeren Dusun Turun Junte Desa Rema Kutapanjang Gayo Lues,Yayasan Bebesen Gayo Bergizi Nusantara
11,Aceh,Kota Banda Aceh,Jl. Pendidikan Desa Lamjabat Meuraxa Kota Banda Aceh,Yayasan Kurnia Cahaya Permata
12,Aceh,Kota Banda Aceh,Jl. Seulanga Jurong Panglima Nyak Raja No. 318 Desa Lamlagang Banda Raya Kota Banda Aceh,Yayasan Makmur Maju Bersama
13,Aceh,Kota Langsa,Desa Matang Seulimeng Langsa Barat Kota Langsa,Yayasan Makmur Maju Bersama
14,Aceh,Kota Lhokseuma we,Jl. Pesantren Babul Huda Aceh Dusun Lhokumbang Desa Meunasah Alue,Yayasan Babul Huda Aceh Indonesia
15,Aceh,Kota Sabang,Desa Ie Meulee Suka Jaya Kota Sabang,Yayasan Kurnia Cahaya Permata
16,Aceh,Nagan Raya,Desa Blang Baro Kuala Nagan Raya,Yayasan Putri Ratu Ana
17,Aceh,Pidie,Komplek Pemda No 12 Blang Paseh,Yayasan Cahaya Semesta Bersama
18,Aceh,Pidie Jaya,Jl. Rel Desa Meunasayah Keudeu Bandar Baru Pidie Jaya,Yayasan Bustanul Fakri Aceh
19,Aceh,Simeulue,Desa Labuhan Bakti Teupah Selatan,Yayasan Rumah Kita Indonesia
20,Bali,Denpasar,"Jl. Sokasati, Gang Menori No.11, Sumerta Kelod, Kec. Denpasar Timur, Kota Denpasar, Bali",Yayasan Pendidikan Cakra Cemerlang Internasional
21,Bali,Denpasar,"Jl.Tukad Petanu, Gang Pipit No.8, Sidakarya, Denpasar Selatan, Bali",Yayasan Pendidikan Cakra Cemerlang Internasional
22,Banten,Kabupaten Serang,Jl. Kh Abdul Kabier Rt 012 Rw 003 Desa Kemuning Kec. Tunjung Teja Serang Prov Banten,Yayasan Shohibul Muslimin
23,Banten,Kabupaten Tangerang,"Kp Korelet Desa Ranca Kelapa Kec. Panongan, Tangerang",Yayasan Hidayatul Hikmah Rajeg
24,Banten,Kabupaten Tangerang,"Jalan - Cisoka, Cisoka, Kecamatan Cisoka Kabupaten Tangerang 15730",Yayasan Al- Munawwir Cendekia Mulia
25,Banten,Kabupaten Tangerang,"Jalan Aria Jaya Santika Pasir Nangka Kecamatan Tigaraksa, Kabupaten Tangerang Banten, 15720",Yayasan Al- Munawwir Cendekia Mulia
26,Banten,Kota Serang,"Jl. Ayip Usman No. 27 Serang, Kota Serang - Banten",Yayasan Puspa Indah Mitra Kreatif
27,Banten,Kota Serang,"Jl. Kh Abdul Hadi, Cipare, Kec. Serang, Kota Serang, Banten 42117",Yayasan Puspa Indah Mitra Kreatif
28,Banten,Kota Serang,"Jl. Penancangan Lama No.01, Rt.001/Rw.001, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124",Yayasan Hidayatul Mubtadiin
29,Banten,Kota Serang,"Jl. Raya Cilegon Drangong Serang, Banten No. Km 4, Drangong Kota Serang Banten",Yayasan Kemala Bhayangkari
30,Banten,Kota Tangerang,Perum Griya Permata Jl. Kh. Ahmad Dahlan Blok B1 No. 9a Kelurahan Petir Cipondoh Kota Tangerang Provinsi Banten,Persada Nusa Bakti
31,Banten,Kota Tangerang,Jl. Marsekal Suryadarma Rt.04/ Rw.07,Yayasan Hidayatul Hikmah Rajeg
32,Banten,Kota Tangerang Selatan,"Jl. Ki Hajar Dewantara No. 12 Rt 03 Rw 07 Kel. Sawah, Kec. Ciputat, Tangerang Selatan",Yayasan Indonesia Food Security Review
33,Banten,Kota Tangerang Selatan,"Jl. Bayangkara No.1, Rt.003/Rw.002, Desa/Kelurahan Pakujaya",Yayasan Indonesia Kulina Emas
34,Banten,Serang,"Jl. Trip Jamaksari Komp. Bungur Indah Gg. Garuda No.17 Sumurpecung, Serang, Kota Serang, Banten",Yayasan Bina Prestasi
35,Diy,Gunungkid ul,"Jl. Taman Bakti, Jeruksari, Wonosari",Yayasan Tunas Mekar Cianjur
36,Diy,Kulon Progo,"Karangwuluh Lor, Rt005/Rw003, Karangwuluh, Temon",Yayasan Mugi Berkah Lestari
37,Diy,Sleman,"Jalan Godean Km. 8, Sidokarto, Kec. Godean, Sleman, Diy",Yayasan Indonesia Food Security Review
38,Diy,Yogyakarta,"Jl Surami No 845, Mantrijeron",Yayasan Indonesia Food Security Review
